vote,spend,state,districts,dem_inc,rep_inc,pvi
-157518,-782463.5800000001,Arizona,4,0.0,1.0,-21
10723,3582701.58,Michigan,11,1.0,0.0,-4
-102920,-2252183.37,Ohio,15,0.0,1.0,-7
-179918,-3226640.3400000003,Texas,8,0.0,1.0,-28
-134215,-2696810.42,Indiana,6,0.0,1.0,-18
-73093,-1068030.5699999998,Texas,5,0.0,1.0,-16
10475,-2110705.0,Texas,7,1.0,0.0,-7
45569,5746069.94,Texas,28,1.0,0.0,9
123363,423313.82,Texas,9,1.0,0.0,29
-9383,72293.36000000034,Florida,27,1.0,0.0,5
-56657,-6018480.87,New York,21,0.0,1.0,-4
-153039,-1075384.2699999998,Oklahoma,2,0.0,1.0,-24
-179174,-2660252.7,Texas,11,0.0,0.0,-32
-80817,-506601.02999999997,Arizona,8,0.0,1.0,-13
-93088,-1816197.45,Florida,6,0.0,1.0,-7
-112074,-273062.7400000001,Florida,4,0.0,1.0,-17
20580,3492052.1,Virginia,2,1.0,0.0,-3
87960,1956843.0800000003,Illinois,10,1.0,0.0,10
-99441,-949210.3099999999,Washington,4,0.0,1.0,-13
-135511,-817055.4099999999,Ohio,8,0.0,1.0,-17
-28261,-7518800.109999999,Texas,22,0.0,0.0,-10
52933,2005508.0599999998,Indiana,1,0.0,0.0,8
-179356,-275577.83,Idaho,1,0.0,1.0,-21
139343,2456546.61,North Carolina,2,0.0,0.0,-7
29886,1911583.8899999997,Illinois,6,1.0,0.0,-2
-92078,-3276151.8499999996,Washington,5,0.0,1.0,-8
115226,1650786.62,Arizona,7,1.0,0.0,23
156243,289857.3,Texas,30,1.0,0.0,29
-29960,5652594.0200000005,Texas,21,0.0,1.0,-10
-89103,-1199489.81,South Carolina,4,0.0,1.0,-15
-16986,-714258.8600000008,Indiana,5,0.0,0.0,-9
49777,1257389.38,Georgia,2,1.0,0.0,6
78646,2730837.24,Washington,6,1.0,0.0,6
-104059,-949138.1499999999,Oklahoma,1,0.0,1.0,-17
85450,510986.58,Texas,20,1.0,0.0,10
-89437,-733174.31,Georgia,8,0.0,1.0,-15
-124779,-819011.5700000001,Mississippi,1,0.0,1.0,-16
14700,2928516.28,Washington,8,1.0,0.0,0
-108635,-568061.25,Arkansas,3,0.0,1.0,-19
95214,1098904.11,Mississippi,2,1.0,0.0,14
-54391,-936241.8599999999,Texas,25,0.0,1.0,-11
24869,654264.4199999999,Oregon,4,1.0,0.0,0
-166771,-2076974.12,Missouri,3,0.0,1.0,-18
