basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3904815,ca.proc.d.1992-04-10.1,1992-04-10,,,,topic,GOVERNMENT ORDERS,,,,,,,
3904816,ca.proc.d.1992-04-10.1.1,1992-04-10,,,,subtopic,GOVERNMENT ORDERS,SPENDING CONTROL ACT,,,,,,
3904817,ca.proc.d.1992-04-10.1.1.1.1.1,1992-04-10,,,,stagedirection,,,,"The House resumed from Thursday, April 9, consideration of the motion of Mr. Mazankowski that Bill C-56, an act respecting the control of government expenditures, be read the third time and passed.",,,,
3904818,ca.proc.d.1992-04-10.1.1.1.2,1992-04-10,7a824290-468c-4107-9a12-75853a3733c3,ca.m.1956,Madam Deputy Speaker:,Deputy Speaker and Chair of Committees of the Whole of the House of Commons,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"The hon. member for Essex-Windsor has three minutes remaining in debate.

",Progressive Conservative,,Andrée  Champagne,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7a824290-468c-4107-9a12-75853a3733c3&Language=E&Section=ALL
3904819,ca.proc.d.1992-04-10.1.1.1.3,1992-04-10,79dfefc0-add3-4a45-a8b5-c17c13627ea9,ca.m.6379,Mr. Steven W. Langdon (Essex-Windsor):,,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"Madam Speaker, I think three minutes should be just about enough to point out to this government how the incompetence, irresponsibility and lack of sensitivity to the human damage which it is causing has come clear this morning in the dramatic increase in unemployment rates which has taken place in this country.
We see today an increase in unemployment rates to 11.1 per cent across this country. That is the highest level which we have seen in Canada since 1985. For adult males over the age of 25, we have a level of unemployment of 10.4 per cent, which is higher than in the recession of 1982.
What we have here is a government which has presided over the loss of 146,000 full-time jobs in this past month; 146,000 jobs in a single month. How can we possibly have any confidence in the economic management of this government? It is a government which has had no success in dealing with the deficit, no success in dealing with unemployment, no success in dealing with
poverty in this country, which has created increased inequality across this country, which has given tax handouts to its friends, as I discussed yesterday in the first part of my speech, and which continues to misunderstand the bitterness, the anger, the unhappy tragedy which is out there for Canadians across this country.
This is a government which is failing this country, failing it economically and, through that economic failure, failing to build this country for the future.
Yesterday, a promising development took place in Halifax with respect to constitutional change in this country. But those promising developments in constitutional change are not going to bring unity in this country so long as this government is creating two Canadas, one that is rich and privileged and powerful and another that, as these figures show today, is increasingly unemployed, increasingly powerless, increasingly left out of any kind of economic opportunity here in this country.
We cannot support anything that comes from this government pretending to be economic policy which in effect will have the result of continuing the tax handouts to large corporations and tax hand-outs to the rich, which created the economic mess which we see in front of us at the moment.
This government has failed. This bill is a sign of its failure. I hope this House will reject this piece of legislation on that basis.

",New Democratic Party,,Steven W. Langdon,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=79dfefc0-add3-4a45-a8b5-c17c13627ea9&Language=E&Section=ALL
3904820,ca.proc.d.1992-04-10.1.1.1.4,1992-04-10,0d54c9e9-98f9-4519-be89-560b46bd9ddd,ca.m.4324,Mr. Brian Tobin (Humber-St. Barbe-Baie Verte):,,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"Madam Speaker, I want to make a comment and put a question to the member who has just spoken.
Indeed, the unemployment numbers released this morning, as the member has suggested, show a dramatic increase month over month in the level of unemployment in Canada. We have been accustomed in this House to seeing an increase from 10.1 to 10.2 or 10.2 to 10.4, but I think Canadians have to wrap their minds around the reality that in one month, in just 30 days, unemployment in Canada increased from 10.6 to 11.1 per

April 10, 1992
Government Orders
cent. In one month another 100,000 Canadians went on the unemployment lines. During the period of one month, every day of that month more than 3,000 more Canadians a day went unemployed. If the trend continues, this very day that we speak, before the day is out, 3,000 more Canadians will be unemployed across this country. .Three thousand more notices a day are being given for jobs that have disappeared.
That is an incredible rate. That is a tragic rate of job loss in this country. What makes it tragic is that this job loss follows quickly on the heels of a budget introduced February 25, a budget that was advertised as a stand pat budget, a budget for recovery, a budget that would allow the natural market forces to do their work, to stimulate this economy and to put Canadians back to work.
I want to ask my hon. friend, who has been a finance spokesman for his party, a trade spokesman for his party, whether he believes the budget delivered by the Minister of Finance, the first budget delivered by this current Minister of Finance, can still in any way, shape or form be called relevant and appropriate, given the current economic circumstances and given what looks to be like the first tentacles of a vicious recession-not a recession, but a depression gripping this country.

",Liberal,,Brian Vincent Tobin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0d54c9e9-98f9-4519-be89-560b46bd9ddd&Language=E&Section=ALL
3904821,ca.proc.d.1992-04-10.1.1.1.5,1992-04-10,79dfefc0-add3-4a45-a8b5-c17c13627ea9,ca.m.6379,Mr. Langdon:,,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"Madam Speaker, I thank my colleague for his question.
We used to read stories as young kids growing up. One of my favourite stories was the story of the emperor who had beautiful clothes which were being spun for him, clothes which were supposed to dress him in splendour. It took one child to look at that emperor, start laughing and say: ""He hasn't any clothes on,"" for the emperor to suddenly realize that he had been fooled.
I think that we have a situation in this country where a government has, with pomp and circumstance and splendour brought in a budget, pretending that that budget would do something about our economic problems. Ever since that budget has come out, there has been one piece of information after another which has said that the budget was threadbare, that the budget was ultimately non-existent and that the government stood there with absolutely nothing on in trying to deal with the problems of our country.
Just this past week we saw a reduction in housing starts. We see again, just this past week, reports of all sorts. The Royal Bank which gives to this government $50,000 or $60,000 a year in campaign contributions, nevertheless had to admit that the government's growth projections of 2.7 per cent were absolutely crazy.
In fact, the level of growth that could be expected in this economy was simply 1.4 per cent, less than half of what the government expected. We see today the final shock which I hope, because I care for these people who are being affected, will change this government's mind.
I hope that the shock of seeing this kind of dramatic, powerful rise in unemployment will force this government to change policy, force it to reduce interest rates significantly and force it to adopt a municipal infrastructure job plan, force it, through an economic recovery fund, to keep companies operating so that we keep people at work, force it to recognize that it has to extend the RRSP proposal to renovations so as to get more people back to work, force it to recognize that over the longer term it has to have an industrial strategy to get our industrial sectors back competitively throughout this country.
Across this country, there is a sense of despair which will be increased by the unemployment figures this morning. I plead with this government, please do something to respond. Show that you care, because people across this country need that sense of hope which they do not have in this government's present budget policies.

",New Democratic Party,,Steven W. Langdon,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=79dfefc0-add3-4a45-a8b5-c17c13627ea9&Language=E&Section=ALL
3904822,ca.proc.d.1992-04-10.1.1.1.6,1992-04-10,0d54c9e9-98f9-4519-be89-560b46bd9ddd,ca.m.4324,Mr. Brian Tobin (Humber-St. Barbe-Baie Verte):,,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"Madam Speaker, I want to participate in the debate on Bill C-56, because this debate is another example of how this government attempts to substitute substance with process.
The bill now before Parliament would ensure that the government, through legislative control, would follow the spending program that has been laid down by the government for a five-year period. Through this bit of smoke and mirrors, through this so-called legislative control of the government's spending program, the government attempts to convince Canadians that it is going to be responsible in how it spends taxpayers' moneys.
April 10, 1992

More to the point, the government is attempting to enforce its expenditure program not only on this current government but on succeeding governments. It is really a bit of nonsense. If the government wants to operate in a responsible fashion with respect to expenditures, then all the government need do is ensure that cabinet functions in a responsible way. If ministers do not function in a responsible way then all the Prime Minister need do is fire them.
With nearly eight years in power, to put forward legislation that purports to control expenditures and suggests that it is being fiscally responsible is pure nonsense. It is more propaganda. It is a deathbed repentance by a government that is on its last legs. It is a government that has fully the support of 10 per cent or 11 per cent of the population appealing to the 90 per cent that has left this government in terms of their political support. It is propaganda.
Speaking of propaganda, this morning I picked up a newspaper and I read the following headline: ""Wilson Defends Spending Millions on Free Trade Success Stories"". Canadians ought to think about that. The minister of trade is going to launch a multimillion dollar advertising campaign to tell Canadians about the great success of free trade.
Members opposite should be ashamed of themselves. You would want to have the face of a robber's horse to propose spending millions of dollars to say how good free trade is. Can you imagine?
Yesterday the Leader of the Opposition asked the minister of trade if, rather than have a propaganda campaign, would it not be better to use that money to help the hundreds and thousands of Canadians who have lost their jobs because this government could not do a good job in negotiating the free trade deal.
That was the question put by the Leader of the Opposition, and the answer from the minister of trade- and we need to hear this answer in the face of the unemployment stats this morning-was whether his hon. friend was saying that he is against providing advertising, providing information to Canadians, to let them know of the successes.
This morning the unemployment stats came out. Here is the story. We do not need advertising. It says that unemployment in Canada has gone from 10.6 per cent up to 11.1 per cent. It says that 1.6 million Canadians are
Government Orders
unemployed. It says that in excess of two million Canadians have given up even looking for work and have registered at the welfare agencies all across this country. They are not even looking any more.
We have upward of four million Canadians who are out of a job productive cycle in this country and the minister of trade, that sensitive, that caring, that plugged in, that realistic, that heart-beating Canadian from Bay Street wants to buy advertising to tell Canadians that there are some success stories.
Mr. Speaker, I am from Newfoundland, not Disneyland, and I am tired of this fantasy propaganda effort by the government opposite.
We have become like the people who used to watch the nightly news during the Vietnam war. We have become immune to the body bags. We have the numbers every month, 11.1 per cent, four million Canadians, 1.6 unemployed, and it does not register any more. We have become numb to the human face of unemployment. We have forgotten to care. We have been so battered and broken and bullied and pushed and pounded, month after month, by the tragic plight of unemployment in Canada that our nerve endings are numbed. We have stopped caring.
The government's response is that it is going to buy advertising. It is going to spend millions of dollars to tell those four million lost souls, to tell the man who has lost the dignity of a pay cheque, the woman who has been driven out of the work force, the children who have been dislocated and moved from their homes because the banks have grabbed up the mortgage and taken back the home, it is going to tell those poor lost unfortunate souls that there really are success stories, Virginia. There really is a Santa Claus. There are some people who are succeeding under free trade in Canada.
That is the most brutal, that is the most cynical kind of approach to government that one can possibly imagine. It is adding insult to injury. It is saying that this government believes that the level of intelligence, the level of conscientiousness the level of awareness, the level of sensitivity of the average Canadian can be defined by the cost of an advertising campaign.
This government is so convinced that the people of Canada live in little bunkers called houses and that they are so turned off by the plight of their neighbours, that if it can reach them by an ad on radio, television or in a newspaper it can communicate what is going on in this country.

April 10, 1992
Government Orders
Canadians are out in the streets talking to their neighbours, their brothers, their sisters, their mothers, their fathers, their cousins. They know that this economy is in a free fall. They know what no one dares to say and that is that we are not in a recession. This is not a recession we are living in; this is a depression.
Canada has entered a depression. An unemployment rate increase of 100,000 in one month. Three thousand people a day, each and every day for the last 30 days have been laid-off. That is not a recession. That is not slow growth. The country is in a depression.
The budget brought down by the Minister of Finance on February 25 as everyone well knows was an act of cowardice. It was turning away from the tough challenge of putting this country back to work.
We have heard many members of Parliament from all across Canada echoing that message. In particular we have seen many provincial members visiting the national capital coming from the poorer provinces which have had transfer payments for health care and education, CAP transfer payments. Some provinces were put on the Canada Assistance Plan unilaterally introduced by this government. They come to Ottawa and say: ""My God, do you realize what is happening out there in the street, in real Canada?""
In just the last few days, I have had the opportunity of talking to members from the province of Nova Scotia. I spoke to Daniel Graham for Inverness South, Charles MacArthur for Inverness North and to Kenny MacAskill for Victoria, who are here in Ottawa making their case, telling the parliamentarians in this Chamber, telling members on the other side that it is time to recognize the real face of unemployment, the real face of human misery that is felt out there in the land. When members take the trouble to come from the other legislatures of this country and to convey that message, we have an obligation to listen.
What has happened in Canada in the last 30 days? What has happened since the budget was brought down in February across this land?
Let me talk about my own province. Unemployment in Newfoundland has now reached 20.3 per cent, a full 1.4 per cent increase. Not half a per cent, not a third of a per cent, but a full 1.4 per cent increase over one month. From 18.3 per cent in March 1991 to 20.3 per cent in
April 1992. How does that translate? It means that on the Avalon peninsula of Newfoundland, 18.8 per cent of the work force, those who have still bothered to register at Canada employment offices, are unemployed.
In the riding of my colleague from Gander-Grand Falls, who has spoken with such power, eloquence, passion and conviction about the people of his riding in this Chamber, it means that 22.7 per cent of the work force is unemployed.
In the riding of my friend the member for Bonavista- Trinity-Conception, it means that 20 per cent of the work force today are unemployed. That includes 1,000 fish plant workers in Catalina who lost their jobs because of foreign overfishing. Their jobs were closed down. My hon. friend spoke in this House with passion and with dignity on their behalf asking that their voice be heard and considered by this government. Just like the body bags in the Vietnam war it did not even crack a dent. It made no impact. It was like hitting the battle armour of an M-l tank. The news of those 1,000 jobs lost just bounced off and deflected. The government went straight ahead with its economic plan ignoring all of those people whose lives had been put on hold while this government continued to flounder and to flail and to offer more confusion, conflict and contradiction in its own ranks with the inability to deal with the reality of unemployment.
In western Newfoundland and Labrador, in my own riding, unemployment this month has gone to 23.6 per cent. There are 13,000 people who have registered and are unable to find work. This government's answer is: ""Recovery is around the comer"".
The Royal Bank announced just two days ago that its own projections for recovery in Canada were being scaled down from nearly 3 per cent, 2.7 per cent, to 1 per cent at best.
. The Royal Bank officially said that there will be no recovery in 1992 based on the current economic policy and plan of the government. It said that there will not be a recovery until 1993. Well the Royal Bank ought to get honest with Canadians. It should quit the soft sell. It should quit the mush. It should be honest and say that the country is moving into a long-term depression. The country is bleeding.
April 10, 1992

The same minister of trade who negotiated the free trade deal, who at the last second went to Washington in the dead of the night and signed on the dotted line on behalf of Canada on a free trade deal, the former Minister of Finance, the current minister of trade, now says: ""You can trust me to sign and to negotiate the Canada-U.S.-Mexico deal because I am the guy who gave you the free trade deal"".
What has been the result of the free trade deal? The result is that 300,000 highly paid manufacturing jobs in southern Ontario have gone. They have not gone for a week, or a month, or a year. They are gone forever because that manufacturing capacity, that manufacturing power base has been transferred to the United States. It is gone. They have not given a lay-off notice; they have levelled the factory. They have not told people to take a break; they have broken down the assembly lines and moved them south of the border.
The so-called most massive adjustment programs ever known in the history of the free world promised by the Prime Minister, adjustment programs and retraining programs, are nowhere to be seen in this country.
Canada needs a new economic program. Canada needs a recognition of how difficult times are in this country. I saw the news last night and the news was that the Minister Responsible for Constitutional Affairs felt a renewed degree of confidence in the possibility of negotiating a constitutional deal. That is good news. I hope there is progress and that it stands up.
But by God, we have to realize in this place that the capacity of a country to heal itself constitutionally, to come together constitutionally, the capacity of a country to reach into its soul and find the generosity to unite is directly related to our capacity to put bread and butter on the table and to have the dignity of receiving a pay-cheque at the end of every pay period. They are inseparable.
Governments that believe they can negotiate constitutions in isolation of the human circumstance of the men and women of a country are governments that are living in fantasy land.
I feel, in a sense, that my voice is wasted here today because this Chamber is going to close for a scheduled break for the next two weeks and it is a Friday. It is the
Government Orders
last day of the week. It is the last day before we go away for 14 days. I ask myself whether anybody opposite is going to spend one moment of time, Mr. Speaker, other than you whom I know we can count upon, contemplating the real meaning of this dramatic increase in unemployment.
I wonder whether one minister opposite is going to go away and face up to the reality that the current economic plan has failed, that the current economic approach has failed and that Canada needs a new economic initiative. The country needs stimulation. The proposal of the Liberal Party of Canada, as articulated by the leader of the party, now needs to be given a chance.
We asked for a municipal infrastructure program. We asked for a program that would see one-third funding by the federal government, by the provincial governments and by the municipal governments. We asked that the multibillions of dollars of work that is out there waiting to be done and needs to be done, which represents an investment in the country, a retooling of our infrastructure, rebuilding the bridges, the roads, the water and sewer systems, the municipal infrastructure, that it be taken on and people be put back to work investing substantially in our future. We were not talking about painting the graveyard fence for the third time, we were talking about rebuilding the infrastructure of this country.
We ask again that that proposal be looked at. The Federation of Municipalities of Canada which originated that proposal will be meeting soon in Montreal. The mayors of all the great cities all across this country will be coming together. Once again, I expect they will be asking the government to look at that proposal to get this country working.
It is not hard to understand why the mayors are saying that. Look across the country. In St. John's, Newfoundland unemployment is 16.8 per cent; in Saint John, 12.6 per cent; in Sherbrooke, 12 per cent. In Oshawa, in southern Ontario, the heart of the manufacturing centre of this country, 11 per cent of the people are unemployed; St. Catharines, 10 per cent; Windsor, 11.6 per cent; Winnipeg, the riding of my friend and colleague, 11.7 per cent. In great Edmonton where every person from Cape Breton to Newfoundland went to find a job

April 10, 1992
Government Orders
when all else went wrong, unemployment is nearly 12 per cent. In Victoria, unemployment is 8.6 per cent.
This Prime Minister promised when he took power that he would change the face of Canada. Yes, Mr. Speaker, he has succeeded, he has changed the face of this country. It is a battered face, it is a bruised face, it is a shameful face, it is a face of a people who have lost their dignity and their hopes for a prosperous future. That is what this Prime Minister has done.
Canadians are telling this government, and certainly we on this side are telling this government, either face up to the reality of our circumstance, provide us with a realistic economic program, assist us, assist the municipalities and assist the provinces in getting this economy going, or move aside.
It should move aside because no government with just 11 or 12 per cent of the support of the people, not for a month or not as a consequence of a particularly bad political policy or a faux pas by the Prime Minister or a faux pas by the Minister of Finance but a government that has been sustained at 12, 13 or 14 per cent for a year has to ask itself whether or not it is fundamentally out of step with both the aspirations and the reality of the majority of Canadians.
This government is out of step. This government is dangerous to national unity. This government has brought this country to the edge of crisis. This government has to get with it and bring forward a realistic program.
If members opposite have one shred of compassion and belief in their country, if for one moment in their existence as politicians they can see beyond their partisan positions and see the position of the country for what it is, this government has to vacate office. It has to move aside. It has to call an election. It has to give the people of Canada a chance to elect a new administration of whatever stripe, of whatever make-up, to give this country a chance to work again.
In closing, may I say that if there is only one of that raggedy lot across the way who is maintained here as a voice of conscience for his people, I hope, Mr. Speaker, that it is you. Because when the fire storm comes, not many on that side are going to survive, and with good reason.

",Liberal,,Brian Vincent Tobin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0d54c9e9-98f9-4519-be89-560b46bd9ddd&Language=E&Section=ALL
3904823,ca.proc.d.1992-04-10.1.1.1.7,1992-04-10,f6e5da54-c9c9-4020-9356-e92606d6b6c4,ca.m.4332,Mr. George S. Baker (Gander-Grand Falls):,,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"Mr. Speaker, I want to congratulate my colleague from Humber-St. Barbe-Baie Verte for a magnificent, exceptional presentation to the House.
I want to ask him a question based on what he said a few moments ago about our rising today for a period of two weeks. I would like to put this question on the record. I want to ask the hon. member-and this should be something for the government to think about and the Canadian people to think about for the next two weeks. Why does the hon. member believe the government has behaved in such a manner?
The official statistics show that there has been a 50 per cent increase in the number of people who filed income tax returns in Canada earning between $100,000 and $125,000 a year who have non-taxable returns filed. Why is there an increase of some 40 per cent in the people who earn between $125,000 and $150,000 a year who filed income tax returns in Canada but do not pay one penny of income tax; a 40 per cent increase if they make between $150,000 and $200,000; a 30 per cent increase if they make between $200,000 and $250,000?
Here is the key one. If they make over $250,000 a year in Canada, why does the hon. member think that the Government of Canada made changes in our tax system? The official statistics from Ihxation Canada show a 30 per cent increase in the number of people making over $250,000 a year who filed income tax returns in this country last year and the year before who do not pay one penny of income tax.
I want to ask him why he thinks the government turned around three months ago, changed the law relating to trusts in Canada to allow them an increase for 30 years for all of those deferred capital gains taxes since 1972 owed by our biggest corporations and by our 20 or so billionaires in Canada. Why has that been deferred now for another 30 years?
Why did the government change the law relating to what very wealthy people can claim as entertainment and it places now as a limit in the Criminal Code of Canada that one can claim anything as long as it does not violate the Criminal Code of Canada, an 80 per cent deduction on the income tax returns of the wealthiest people in Canada?
April 10, 1992

I want to ask the hon. member why does he think the Government of Canada has done this?

",Liberal,,George Baker,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f6e5da54-c9c9-4020-9356-e92606d6b6c4&Language=E&Section=ALL
3904824,ca.proc.d.1992-04-10.1.1.1.8,1992-04-10,0d54c9e9-98f9-4519-be89-560b46bd9ddd,ca.m.4324,Mr. Tobin:,,GOVERNMENT ORDERS,SPENDING CONTROL ACT,MEASURE TO ENACT,"Mr. Speaker, no rational person, and I do claim to be somewhat rational, no sane person, and I believe there is a degree of sanity in my approach to life, would attempt to give a reason that this government has favoured the privileged few at the expense of the hard-working many.
I could not pretend to rationalize or to give any rational, sane, reasonable, understandable or communicable reason that could be retained, examined and turned around in the light of day and found to be a solid reason that this government would do such a dastardly thing. Perhaps it is because it believes it has given such a large tax break in the February 25 budget to Canada's poor.
We have to be fair. My friend from Gander-Grand Falls would want to be fair. The government did give- he will recall we discussed it-a $2 a year tax break to a family of four with an income of $15,000. That is $2 a year, less than one penny a day, but it is $2 a year. The government did give a $7 a year tax break to a family of four with an income of $30,000. We must be fair and acknowledge that. It did give senior citizens just a few weeks ago a great big increase for this year, 37 cents a month.
We know the poor people of Canada are getting their share. It is only reasonable that if the wealthy millionaires and billionaires and the privileged corporate few are getting their multi-tens of thousands of dollars tax break, that senior citizens should get their 37 cents a month, that a family of four with an income of $15,000 should get their $2 a year. I suppose that is the rationale. Frankly, I do not understand it.

",Liberal,,Brian Vincent Tobin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0d54c9e9-98f9-4519-be89-560b46bd9ddd&Language=E&Section=ALL
