i,j,weight
348,711,5
13,588,5
225,227,5
118,830,5
69,133,5
208,422,5
199,445,5
413,711,5
179,485,5
217,243,5
3,485,5
79,117,5
611,706,5
244,454,4
183,466,4
13,532,4
173,211,4
285,632,4
256,845,4
457,752,4
221,344,4
13,658,4
526,539,4
292,325,4
457,619,4
139,503,4
64,90,4
437,846,4
394,676,4
217,422,4
263,598,4
36,457,4
272,589,4
351,367,4
71,593,4
280,798,4
269,466,4
139,672,4
625,752,4
128,235,4
123,494,4
52,472,4
374,846,4
252,363,4
65,256,4
92,676,4
441,461,4
644,742,4
4,144,4
239,357,4
121,801,4
567,643,4
58,706,4
90,485,4
37,378,4
37,681,4
83,220,4
66,502,4
263,401,4
263,308,4
25,766,4
468,628,4
254,572,4
105,119,4
503,524,4
52,324,3
39,707,3
39,545,3
39,331,3
1,345,3
284,449,3
466,689,3
336,541,3
588,589,3
269,403,3
215,695,3
75,342,3
503,672,3
459,657,3
280,472,3
52,653,3
635,788,3
371,513,3
137,599,3
42,432,3
15,221,3
291,528,3
109,263,3
131,472,3
4,381,3
395,588,3
304,419,3
165,781,3
54,267,3
254,665,3
12,25,3
414,421,3
361,613,3
191,846,3
11,13,3
221,262,3
389,703,3
172,551,3
299,744,3
29,254,3
365,422,3
72,149,3
221,598,3
481,706,3
282,574,3
37,348,3
136,650,3
96,583,3
190,263,3
12,244,3
106,672,3
221,373,3
478,510,3
131,485,3
243,657,3
96,470,3
374,600,3
51,664,3
126,537,3
15,344,3
100,552,3
401,706,3
282,342,2
348,424,2
598,657,2
39,457,2
396,641,2
190,569,2
236,472,2
176,486,2
176,797,2
453,680,2
217,457,2
393,482,2
66,457,2
371,653,2
348,512,2
358,401,2
545,830,2
155,170,2
4,507,2
100,503,2
96,308,2
366,422,2
123,163,2
23,485,2
451,537,2
170,645,2
85,672,2
393,505,2
650,667,2
75,652,2
215,673,2
148,659,2
54,269,2
52,108,2
52,371,2
162,558,2
108,706,2
42,466,2
278,514,2
252,668,2
207,467,2
342,401,2
80,744,2
265,540,2
107,221,2
486,845,2
285,491,2
386,643,2
262,273,2
52,295,2
17,807,2
173,263,2
52,692,2
263,372,2
262,754,2
173,631,2
13,115,2
417,591,2
351,798,2
453,559,2
3,48,2
291,395,2
13,699,2
149,359,2
274,510,2
204,559,2
465,782,2
259,454,2
252,517,2
178,682,2
171,208,2
180,627,2
75,221,2
263,342,2
405,485,2
16,572,2
268,269,2
677,700,2
28,508,2
111,373,2
151,333,2
315,552,2
190,288,2
190,678,2
352,360,2
220,352,2
220,374,2
225,522,2
208,632,2
455,809,2
15,416,2
18,276,1
266,785,1
9,669,1
308,457,1
267,543,1
81,461,1
88,492,1
108,268,1
73,208,1
269,788,1
131,219,1
31,399,1
211,512,1
57,164,1
503,535,1
185,409,1
233,321,1
95,394,1
291,583,1
25,137,1
64,559,1
27,112,1
528,772,1
689,801,1
438,457,1
342,550,1
474,521,1
268,562,1
336,351,1
182,358,1
174,574,1
47,332,1
489,760,1
95,119,1
558,652,1
408,764,1
155,759,1
362,420,1
257,673,1
176,378,1
422,575,1
367,519,1
590,675,1
283,669,1
72,73,1
81,374,1
467,560,1
248,701,1
