basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4534207,ca.proc.d.2012-06-28.14606.0,2012-06-28,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,,,,"I wish to inform the House that pursuant to Standing Order 28(4), I have recalled the House this day for the sole purpose of granting royal assent to certain bills.",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4534208,ca.proc.d.2012-06-28.14606.1,2012-06-28,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Royal Assent,,," I have the honour to inform the House that a communication has been received as follows: 
 Government House 
 Ottawa 
 June 28th, 2012 
 Mr. Speaker: 
 I have the honour to inform you that the Right Honourable David Johnston, Governor General of Canada, will proceed to the Senate Chamber today, the 28th day of June, 2012, at 2:00 p.m., for the purpose of giving Royal Assent to certain bills of law. 
 Yours sincerely, 
 Stephen Wallace 
",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4534209,ca.proc.d.2012-06-28.14606.2,2012-06-28,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Royal Assent,Message from the Senate,,"I have the honour to inform the House that messages have been received from the Senate informing this House that the Senate has passed the following bills:
 Bill C-25, An Act relating to pooled registered pension plans and making related amendments to other Acts; 
 Bill C-31, An Act to amend the Immigration and Refugee Protection Act, the Balanced Refugee Reform Act, the Marine Transportation Security Act and the Department of Citizenship and Immigration Act; 
 Bill C-310, An Act to amend the Criminal Code (trafficking in persons). 
",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4534210,ca.proc.d.2012-06-28.14606.3,2012-06-28,,,,stagedirection,Royal Assent,Message from the Senate,,"A message was delivered by the Usher of the Black Rod as follows:
 Mr. Speaker, His Excellency the Governor General desires the immediate attendance of this honourable House in the chamber of the Senate. 
Accordingly, the Speaker with the House went up to the Senate chamber.
 And being returned:  ",,,,
4534211,ca.proc.d.2012-06-28.14606.4,2012-06-28,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Royal Assent,Message from the Senate,,"I have the honour to inform the House that when the House did attend His Excellency the Governor General in the Senate chamber, His Excellency was pleased to give, in Her Majesty's name, the royal assent to the following bills:
 Bill C-26, An Act to amend the Criminal Code (citizen's arrest and the defences of property and persons)—Chapter 9, 2012. 
 Bill C-40, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2013—Chapter 10, 2012. 
 Bill C-41, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2013—Chapter 11, 2012. 
 Bill C-288, An Act respecting the National Flag of Canada—Chapter 12, 2012. 
 Bill C-278, An Act respecting a day to increase public awareness about epilepsy—Chapter 13, 2012. 
 Bill C-311, An Act to amend the Importation of Intoxicating Liquors Act (interprovincial importation of wine for personal use)—Chapter 14, 2012. 
 Bill C-310, An Act to amend the Criminal Code (trafficking in persons)—Chapter 15, 2012. 
 Bill C-25, An Act relating to pooled registered pension plans and making related amendments to other Acts—Chapter 16, 2012. 
 Bill C-31, An Act to amend the Immigration and Refugee Protection Act, the Balanced Refugee Reform Act, the Marine Transportation Security Act and the Department of Citizenship and Immigration Act—Chapter 17, 2012. 
It being 2:15 p.m., the House stands adjourned until Monday, September 17, 2012, at 11 a.m., pursuant to Standing Orders 28(2) and 24(1).",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
